airline,source_city,departure_time,stops,arrival_time,destination_city,classy,duration,days_left,price
GO_FIRST,Delhi,Afternoon,one,Night,Mumbai,Economy,7.08,30,5323
Air_India,Delhi,Night,one,Morning,Mumbai,Economy,10.33,20,5525
GO_FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,8.83,44,9337
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.33,38,9378
AirAsia,Delhi,Afternoon,one,Late_Night,Mumbai,Economy,14.08,31,2409
Vistara,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,30,2700
Air_India,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,11,5955
GO_FIRST,Delhi,Late_Night,zero,Early_Morning,Mumbai,Economy,2.25,35,2410
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,16.33,33,5542
GO_FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,8.0,25,5958
GO_FIRST,Delhi,Morning,one,Evening,Bangalore,Economy,5.67,30,4020
Air_India,Delhi,Morning,one,Night,Mumbai,Economy,11.5,2,12990
Air_India,Delhi,Morning,one,Morning,Mumbai,Economy,22.83,4,12150
Indigo,Delhi,Morning,zero,Afternoon,Bangalore,Economy,2.92,5,7425
SpiceJet,Delhi,Afternoon,one,Morning,Bangalore,Economy,20.25,18,5619
GO_FIRST,Delhi,Morning,one,Late_Night,Bangalore,Economy,14.42,6,7424
Air_India,Delhi,Morning,one,Night,Bangalore,Economy,14.08,35,4041
Air_India,Delhi,Evening,one,Evening,Mumbai,Economy,25.08,6,10921
Air_India,Delhi,Night,one,Afternoon,Mumbai,Economy,16.17,47,4939
Vistara,Delhi,Evening,one,Early_Morning,Bangalore,Economy,14.08,4,10680
Air_India,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.83,27,3554
Air_India,Delhi,Early_Morning,one,Night,Bangalore,Economy,15.17,49,3621
Vistara,Delhi,Afternoon,one,Morning,Bangalore,Economy,18.08,24,3987
Air_India,Delhi,Evening,one,Afternoon,Mumbai,Economy,18.92,38,5703
SpiceJet,Delhi,Early_Morning,one,Night,Bangalore,Economy,15.0,8,12713
AirAsia,Delhi,Morning,one,Evening,Bangalore,Economy,7.42,22,3090
SpiceJet,Delhi,Evening,one,Morning,Bangalore,Economy,16.67,42,6427
SpiceJet,Delhi,Morning,one,Evening,Bangalore,Economy,6.58,45,7372
GO_FIRST,Delhi,Evening,one,Night,Mumbai,Economy,4.75,36,3330
Air_India,Delhi,Morning,one,Evening,Bangalore,Economy,9.5,15,4230
Indigo,Delhi,Evening,one,Night,Mumbai,Economy,5.33,4,6443
Vistara,Delhi,Morning,one,Night,Bangalore,Economy,10.58,40,4496
AirAsia,Delhi,Morning,one,Evening,Bangalore,Economy,8.25,41,3569
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,11.17,16,6296
Vistara,Delhi,Evening,zero,Night,Bangalore,Economy,2.83,37,4501
Vistara,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,21,3100
Vistara,Delhi,Evening,one,Evening,Bangalore,Economy,25.08,21,12150
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,10.08,2,11900
AirAsia,Delhi,Morning,one,Evening,Bangalore,Economy,8.25,27,3090
AirAsia,Delhi,Early_Morning,zero,Morning,Bangalore,Economy,2.67,43,4499
GO_FIRST,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,6.17,19,4020
Indigo,Delhi,Night,zero,Late_Night,Mumbai,Economy,2.17,15,2410
Vistara,Delhi,Early_Morning,one,Morning,Bangalore,Economy,5.0,32,4272
Indigo,Delhi,Morning,one,Evening,Mumbai,Economy,7.67,26,3968
Air_India,Delhi,Early_Morning,one,Evening,Bangalore,Economy,11.5,33,4230
Air_India,Delhi,Early_Morning,one,Evening,Bangalore,Economy,10.75,46,5421
Vistara,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,1,18398
Indigo,Delhi,Afternoon,one,Night,Bangalore,Economy,10.5,7,10523
Vistara,Delhi,Evening,one,Morning,Bangalore,Economy,15.08,4,10680
AirAsia,Delhi,Evening,zero,Night,Bangalore,Economy,2.75,26,4499
Vistara,Delhi,Evening,zero,Night,Bangalore,Economy,2.83,7,7425
Vistara,Delhi,Evening,zero,Evening,Bangalore,Economy,2.75,42,4501
Vistara,Delhi,Morning,one,Evening,Bangalore,Economy,10.42,12,10680
AirAsia,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,7.58,42,3090
Air_India,Delhi,Evening,one,Morning,Bangalore,Economy,15.17,47,4230
Air_India,Delhi,Evening,one,Afternoon,Bangalore,Economy,21.67,33,3621
GO_FIRST,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.08,46,2410
Vistara,Delhi,Morning,one,Night,Bangalore,Economy,9.25,26,4496
Indigo,Delhi,Night,one,Morning,Mumbai,Economy,10.17,25,3408
GO_FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,8.92,11,5954
Vistara,Delhi,Morning,zero,Morning,Mumbai,Economy,2.08,3,5955
AirAsia,Delhi,Afternoon,two_or_more,Night,Bangalore,Economy,8.58,19,6008
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.42,42,4691
Vistara,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,9,5955
AirAsia,Delhi,Morning,one,Afternoon,Bangalore,Economy,5.25,24,3090
Air_India,Delhi,Afternoon,one,Night,Bangalore,Economy,8.5,26,5110
Air_India,Delhi,Night,one,Night,Bangalore,Economy,25.08,46,4041
Air_India,Delhi,Early_Morning,one,Night,Mumbai,Economy,17.83,35,4233
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.5,42,5227
Air_India,Delhi,Afternoon,one,Morning,Mumbai,Economy,19.08,24,6601
GO_FIRST,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,21,5087
GO_FIRST,Delhi,Afternoon,one,Night,Mumbai,Economy,7.08,36,5323
AirAsia,Delhi,Night,zero,Night,Bangalore,Economy,2.83,48,4499
Vistara,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,44,3100
Vistara,Delhi,Night,zero,Night,Mumbai,Economy,2.17,7,5955
GO_FIRST,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,3,5954
Vistara,Delhi,Night,one,Morning,Bangalore,Economy,12.25,45,3987
Vistara,Delhi,Afternoon,one,Night,Bangalore,Economy,6.58,30,4496
AirAsia,Delhi,Evening,one,Late_Night,Mumbai,Economy,6.0,45,5230
GO_FIRST,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,15,2410
Indigo,Delhi,Afternoon,zero,Evening,Bangalore,Economy,2.75,48,4500
Indigo,Delhi,Afternoon,one,Evening,Mumbai,Economy,6.0,9,10721
GO_FIRST,Delhi,Morning,one,Evening,Bangalore,Economy,7.83,48,5803
Air_India,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.08,22,2476
Vistara,Delhi,Early_Morning,one,Morning,Mumbai,Economy,5.5,32,6296
GO_FIRST,Delhi,Night,one,Morning,Mumbai,Economy,11.83,40,5087
Air_India,Delhi,Evening,one,Evening,Bangalore,Economy,23.5,24,4545
Air_India,Delhi,Morning,one,Night,Mumbai,Economy,14.17,12,11415
Vistara,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.33,39,4691
GO_FIRST,Delhi,Early_Morning,one,Evening,Bangalore,Economy,9.67,48,4245
Air_India,Delhi,Morning,one,Afternoon,Bangalore,Economy,4.58,9,9840
Air_India,Delhi,Evening,one,Evening,Mumbai,Economy,25.08,21,5927
